,val_loss,loss,lr
0,139.1698521601492,167.39193582252122,9.999999747378752e-05
1,126.48174319885725,150.24166568142064,9.999999747378752e-05
2,114.73287968425451,134.43486082091812,9.999999747378752e-05
3,103.87900633998318,119.9174715695292,9.999999747378752e-05
4,93.87167270841782,106.62040953281749,9.999999747378752e-05
5,84.64918053123469,94.47750222014338,9.999999747378752e-05
6,76.19284516102584,83.42100271980783,9.999999747378752e-05
7,68.45524847682566,73.38502561236102,9.999999747378752e-05
8,61.385443980164986,64.30420258639884,9.999999747378752e-05
9,54.947107217725545,56.12012771662109,9.999999747378752e-05
10,49.09519104011503,48.76990920248175,9.999999747378752e-05
11,43.79303404333463,42.19645902091816,9.999999747378752e-05
12,39.01095899088572,36.340837846539415,9.999999747378752e-05
13,34.69998773105233,31.153000764198843,9.999999747378752e-05
14,30.8353280249537,26.577763895329632,9.999999747378752e-05
15,27.384891626815282,22.564925935243398,9.999999747378752e-05
16,24.307756977114536,19.064131711967665,9.999999747378752e-05
17,21.574416773812462,16.02563947963758,9.999999747378752e-05
18,19.154483447598377,13.406945303374647,9.999999747378752e-05
19,17.020892593140683,11.16383315241614,9.999999747378752e-05
